image,prompt_adherence,intreccio_identity,manufacturability,visual_quality,controlled_originality,mean_score,reasoning
after_seen_1.png,4.38,4.24,4.01,4.17,4.27,4.21,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_seen_2.png,4.23,4.04,4.13,4.24,4.23,4.17,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_seen_3.png,4.35,4.26,3.92,4.14,4.06,4.15,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_seen_4.png,4.33,4.26,4.06,4.1,4.04,4.16,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_seen_5.png,4.31,4.12,4.1,4.21,4.21,4.19,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_seen_6.png,4.25,4.18,4.18,4.29,4.2,4.22,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_seen_7.png,4.17,4.29,3.94,4.38,4.1,4.18,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_seen_8.png,4.21,4.02,4.03,4.12,4.04,4.08,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_seen_9.png,4.22,4.07,4.03,4.12,4.09,4.11,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_seen_10.png,4.21,4.21,4.19,4.36,4.21,4.24,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_1.png,4.15,4.15,4.04,4.38,4.22,4.19,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_2.png,4.2,4.26,3.92,4.22,4.05,4.13,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_3.png,4.2,4.18,3.95,4.31,4.21,4.17,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_4.png,4.11,4.15,3.92,4.22,4.24,4.13,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_5.png,4.2,4.26,3.9,4.24,4.08,4.14,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_6.png,4.28,4.22,3.95,4.24,4.09,4.16,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_7.png,4.29,4.14,4.02,4.29,4.07,4.16,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_8.png,4.26,4.08,4.13,4.16,4.19,4.16,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_9.png,4.19,4.06,4.1,4.16,4.23,4.15,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_10.png,4.3,4.0,4.18,4.35,4.02,4.17,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_11.png,4.27,4.29,4.14,4.38,4.11,4.24,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_12.png,4.35,4.23,4.17,4.39,4.07,4.24,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_13.png,4.16,4.19,4.16,4.2,4.23,4.19,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_14.png,4.17,4.08,3.98,4.22,4.24,4.14,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_15.png,4.13,4.01,4.01,4.29,4.12,4.11,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_16.png,4.15,4.05,4.05,4.37,4.17,4.16,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_17.png,4.23,4.22,3.91,4.22,4.2,4.16,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_18.png,4.34,4.12,4.0,4.32,4.18,4.19,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_19.png,4.32,4.18,3.92,4.17,4.11,4.14,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_20.png,4.38,4.28,4.14,4.17,4.28,4.25,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_21.png,4.19,4.21,3.97,4.35,4.3,4.2,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
