image,prompt_adherence,intreccio_identity,manufacturability,visual_quality,controlled_originality,mean_score,reasoning
after_seen_1.png,3.98,3.84,3.61,3.67,3.87,3.79,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_seen_2.png,3.83,3.64,3.73,3.74,3.83,3.75,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_seen_3.png,3.95,3.86,3.52,3.64,3.66,3.73,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_seen_4.png,3.93,3.86,3.66,3.6,3.64,3.74,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_seen_5.png,3.91,3.72,3.7,3.71,3.81,3.77,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_seen_6.png,3.85,3.78,3.78,3.79,3.8,3.8,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_seen_7.png,3.77,3.89,3.54,3.88,3.7,3.76,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_seen_8.png,3.81,3.62,3.63,3.62,3.64,3.66,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_seen_9.png,3.82,3.67,3.63,3.62,3.69,3.69,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_seen_10.png,3.81,3.81,3.79,3.86,3.81,3.82,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_1.png,3.75,3.75,3.64,3.88,3.82,3.77,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_2.png,3.8,3.86,3.52,3.72,3.65,3.71,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_3.png,3.8,3.78,3.55,3.81,3.81,3.75,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_4.png,3.71,3.75,3.52,3.72,3.84,3.71,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_5.png,3.8,3.86,3.5,3.74,3.68,3.72,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_6.png,3.88,3.82,3.55,3.74,3.69,3.74,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_7.png,3.89,3.74,3.62,3.79,3.67,3.74,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_8.png,3.86,3.68,3.73,3.66,3.79,3.74,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_9.png,3.79,3.66,3.7,3.66,3.83,3.73,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_10.png,3.9,3.6,3.78,3.85,3.62,3.75,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_11.png,3.87,3.89,3.74,3.88,3.71,3.82,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_12.png,3.95,3.83,3.77,3.89,3.67,3.82,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_13.png,3.76,3.79,3.76,3.7,3.83,3.77,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_14.png,3.77,3.68,3.58,3.72,3.84,3.72,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_15.png,3.73,3.61,3.61,3.79,3.72,3.69,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_16.png,3.75,3.65,3.65,3.87,3.77,3.74,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_17.png,3.83,3.82,3.51,3.72,3.8,3.74,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_18.png,3.94,3.72,3.6,3.82,3.78,3.77,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_19.png,3.92,3.78,3.52,3.67,3.71,3.72,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_20.png,3.98,3.88,3.74,3.67,3.88,3.83,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_21.png,3.79,3.81,3.57,3.85,3.9,3.78,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_22.png,3.82,3.69,3.73,3.89,3.61,3.75,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_23.png,3.94,3.77,3.58,3.66,3.9,3.77,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
