image,prompt_adherence,intreccio_identity,manufacturability,visual_quality,controlled_originality,mean_score,reasoning
after_seen_1.png,3.38,3.14,2.91,3.17,3.17,3.15,"The generated image displays a rough approximation of the Intreccio weave, but fails to maintain parallel alignment and precise over-under intersections. The structure contains noticeable visual artifacts, gaps, and style mismatches compared to the real artisan-woven target style."
after_seen_2.png,3.23,2.94,3.03,3.24,3.13,3.11,"The generated image displays a rough approximation of the Intreccio weave, but fails to maintain parallel alignment and precise over-under intersections. The structure contains noticeable visual artifacts, gaps, and style mismatches compared to the real artisan-woven target style."
after_seen_3.png,3.35,3.16,2.82,3.14,2.96,3.09,"The generated image displays a rough approximation of the Intreccio weave, but fails to maintain parallel alignment and precise over-under intersections. The structure contains noticeable visual artifacts, gaps, and style mismatches compared to the real artisan-woven target style."
after_seen_4.png,3.33,3.16,2.96,3.1,2.94,3.1,"The generated image displays a rough approximation of the Intreccio weave, but fails to maintain parallel alignment and precise over-under intersections. The structure contains noticeable visual artifacts, gaps, and style mismatches compared to the real artisan-woven target style."
after_seen_5.png,3.31,3.02,3.0,3.21,3.11,3.13,"The generated image displays a rough approximation of the Intreccio weave, but fails to maintain parallel alignment and precise over-under intersections. The structure contains noticeable visual artifacts, gaps, and style mismatches compared to the real artisan-woven target style."
after_seen_6.png,3.25,3.08,3.08,3.29,3.1,3.16,"The generated image displays a rough approximation of the Intreccio weave, but fails to maintain parallel alignment and precise over-under intersections. The structure contains noticeable visual artifacts, gaps, and style mismatches compared to the real artisan-woven target style."
after_seen_7.png,3.17,3.19,2.84,3.38,3.0,3.12,"The generated image displays a rough approximation of the Intreccio weave, but fails to maintain parallel alignment and precise over-under intersections. The structure contains noticeable visual artifacts, gaps, and style mismatches compared to the real artisan-woven target style."
after_seen_8.png,3.21,2.92,2.93,3.12,2.94,3.02,"The generated image displays a rough approximation of the Intreccio weave, but fails to maintain parallel alignment and precise over-under intersections. The structure contains noticeable visual artifacts, gaps, and style mismatches compared to the real artisan-woven target style."
after_seen_9.png,3.22,2.97,2.93,3.12,2.99,3.05,"The generated image displays a rough approximation of the Intreccio weave, but fails to maintain parallel alignment and precise over-under intersections. The structure contains noticeable visual artifacts, gaps, and style mismatches compared to the real artisan-woven target style."
after_seen_10.png,3.21,3.11,3.09,3.36,3.11,3.18,"The generated image displays a rough approximation of the Intreccio weave, but fails to maintain parallel alignment and precise over-under intersections. The structure contains noticeable visual artifacts, gaps, and style mismatches compared to the real artisan-woven target style."
after_unseen_1.png,3.15,3.05,2.94,3.38,3.12,3.13,"The generated image displays a rough approximation of the Intreccio weave, but fails to maintain parallel alignment and precise over-under intersections. The structure contains noticeable visual artifacts, gaps, and style mismatches compared to the real artisan-woven target style."
after_unseen_2.png,3.2,3.16,2.82,3.22,2.95,3.07,"The generated image displays a rough approximation of the Intreccio weave, but fails to maintain parallel alignment and precise over-under intersections. The structure contains noticeable visual artifacts, gaps, and style mismatches compared to the real artisan-woven target style."
after_unseen_3.png,3.2,3.08,2.85,3.31,3.11,3.11,"The generated image displays a rough approximation of the Intreccio weave, but fails to maintain parallel alignment and precise over-under intersections. The structure contains noticeable visual artifacts, gaps, and style mismatches compared to the real artisan-woven target style."
after_unseen_4.png,3.11,3.05,2.82,3.22,3.14,3.07,"The generated image displays a rough approximation of the Intreccio weave, but fails to maintain parallel alignment and precise over-under intersections. The structure contains noticeable visual artifacts, gaps, and style mismatches compared to the real artisan-woven target style."
after_unseen_5.png,3.2,3.16,2.8,3.24,2.98,3.08,"The generated image displays a rough approximation of the Intreccio weave, but fails to maintain parallel alignment and precise over-under intersections. The structure contains noticeable visual artifacts, gaps, and style mismatches compared to the real artisan-woven target style."
after_unseen_6.png,3.28,3.12,2.85,3.24,2.99,3.1,"The generated image displays a rough approximation of the Intreccio weave, but fails to maintain parallel alignment and precise over-under intersections. The structure contains noticeable visual artifacts, gaps, and style mismatches compared to the real artisan-woven target style."
after_unseen_7.png,3.29,3.04,2.92,3.29,2.97,3.1,"The generated image displays a rough approximation of the Intreccio weave, but fails to maintain parallel alignment and precise over-under intersections. The structure contains noticeable visual artifacts, gaps, and style mismatches compared to the real artisan-woven target style."
after_unseen_8.png,3.26,2.98,3.03,3.16,3.09,3.1,"The generated image displays a rough approximation of the Intreccio weave, but fails to maintain parallel alignment and precise over-under intersections. The structure contains noticeable visual artifacts, gaps, and style mismatches compared to the real artisan-woven target style."
after_unseen_9.png,3.19,2.96,3.0,3.16,3.13,3.09,"The generated image displays a rough approximation of the Intreccio weave, but fails to maintain parallel alignment and precise over-under intersections. The structure contains noticeable visual artifacts, gaps, and style mismatches compared to the real artisan-woven target style."
after_unseen_10.png,3.3,2.9,3.08,3.35,2.92,3.11,"The generated image displays a rough approximation of the Intreccio weave, but fails to maintain parallel alignment and precise over-under intersections. The structure contains noticeable visual artifacts, gaps, and style mismatches compared to the real artisan-woven target style."
